"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
5831,NA,NA,"M",0
5841,NA,NA,"M",0
6384,NA,NA,"M",0
6833,NA,NA,"M",0
6835,NA,NA,"M",0
6837,NA,NA,"M",0
6990,NA,NA,"M",0
2432,NA,NA,"F",1997
6918,NA,NA,"M",2001
7031,NA,NA,"M",2004
6869,NA,NA,"M",2003
8630,NA,NA,"M",2007
7694,NA,NA,"F",2007
8,NA,NA,"F",1985
919,NA,NA,"F",1992
2704,NA,NA,"M",1998
1235,NA,NA,"F",1993
2727,NA,NA,"F",1998
2729,NA,NA,"F",1998
2749,NA,NA,"F",1998
6867,NA,NA,"F",1998
6799,NA,NA,"F",1998
6794,NA,NA,"F",1998
5488,NA,NA,"F",2005
3216,NA,NA,"F",1999
2773,NA,NA,"F",1998
2774,NA,NA,"F",1998
6872,NA,NA,"F",1998
6913,NA,NA,"M",1999
7242,NA,NA,"M",2005
6870,NA,NA,"F",2003
4000,NA,NA,"M",2001
3718,NA,NA,"M",2000
4402,NA,NA,"M",2002
7211,NA,NA,"F",2005
4005,NA,NA,"M",2001
4006,NA,NA,"M",2001
4404,NA,NA,"M",2002
4013,NA,NA,"M",2001
6874,NA,NA,"F",2001
6902,NA,NA,"F",2002
6878,NA,NA,"M",2003
6882,NA,NA,"F",2003
6863,NA,NA,"M",2002
7018,NA,NA,"F",2004
6903,NA,NA,"F",2001
6891,NA,NA,"F",2003
6897,NA,NA,"F",2003
6920,NA,NA,"M",2003
5162,NA,NA,"F",2004
5484,NA,NA,"M",2005
6916,NA,NA,"M",2002
6854,NA,NA,"F",2003
6908,NA,NA,"M",2002
6904,NA,NA,"M",2003
6894,NA,NA,"F",2002
6852,NA,NA,"M",2003
6900,NA,NA,"F",2003
7043,NA,NA,"M",2004
7000,NA,NA,"F",2004
4706,NA,NA,"F",2003
7017,NA,NA,"M",2004
7021,NA,NA,"F",2004
7019,NA,NA,"F",2004
4029,NA,NA,"M",2001
4412,NA,NA,"M",2002
4040,NA,NA,"F",2001
4420,NA,NA,"M",2002
6917,NA,NA,"F",2000
6892,NA,NA,"M",2001
6855,NA,NA,"M",2001
4050,NA,NA,"F",2001
4051,NA,NA,"F",2001
4417,NA,NA,"M",2002
4053,NA,NA,"F",2001
5143,NA,NA,"M",2004
5456,NA,NA,"M",2005
5165,NA,NA,"M",2004
5141,NA,NA,"M",2004
5145,NA,NA,"M",2004
5144,NA,NA,"M",2004
5152,NA,NA,"M",2004
2761,NA,NA,"F",1998
5148,NA,NA,"M",2004
7026,NA,NA,"M",2004
7033,NA,NA,"M",2004
6907,NA,NA,"F",2002
4707,NA,NA,"F",2003
7028,NA,NA,"F",2004
7036,NA,NA,"M",2004
7035,NA,NA,"F",2004
7006,NA,NA,"F",2004
7044,NA,NA,"M",2004
7012,NA,NA,"F",2004
5515,NA,NA,"M",2005
5491,NA,NA,"M",2005
5171,NA,NA,"F",2004
5173,NA,NA,"M",2004
5174,NA,NA,"M",2004
5155,NA,NA,"M",2004
5153,NA,NA,"M",2004
5147,NA,NA,"M",2004
7025,NA,NA,"F",2004
5485,NA,NA,"F",2005
5496,NA,NA,"M",2005
5497,NA,NA,"F",2005
5498,NA,NA,"M",2005
5499,NA,NA,"M",2005
7038,NA,NA,"F",2003
4421,NA,NA,"M",2002
6101,NA,NA,"M",NA
5511,NA,NA,"F",2005
6883,NA,NA,"M",2003
4413,NA,NA,"M",2002
5179,NA,NA,"M",2004
5476,NA,NA,"F",2005
5150,NA,NA,"F",2004
5146,NA,NA,"M",2004
4712,NA,NA,"M",2003
4713,NA,NA,"M",2003
6911,NA,NA,"F",2003
6885,NA,NA,"F",2003
5151,NA,NA,"F",2004
5142,NA,NA,"M",2004
5149,NA,NA,"M",2004
4714,NA,NA,"M",2003
5170,NA,NA,"M",2004
5167,NA,NA,"M",2004
5159,NA,NA,"M",2004
6906,NA,NA,"F",2003
6899,NA,NA,"M",2003
6880,NA,NA,"M",2002
6919,NA,NA,"F",2003
6866,NA,NA,"F",2003
6871,NA,NA,"M",2003
6879,NA,NA,"M",2003
6921,NA,NA,"F",2003
6896,NA,NA,"M",2003
4717,NA,NA,"M",2003
6856,NA,NA,"F",2003
6923,NA,NA,"M",2003
6877,NA,NA,"M",2002
6851,NA,NA,"M",2002
6905,NA,NA,"M",2003
6850,NA,NA,"F",2003
6887,NA,NA,"F",2002
5470,NA,NA,"M",2005
5471,NA,NA,"M",2005
7262,NA,NA,"M",2005
7251,NA,NA,"M",2005
7255,NA,NA,"M",2005
5175,NA,NA,"M",2004
5154,NA,NA,"M",2004
5166,NA,NA,"M",2004
7217,NA,NA,"M",2005
7039,NA,NA,"M",2004
7223,NA,NA,"M",2005
7231,NA,NA,"F",2005
6909,NA,NA,"M",2002
7261,NA,NA,"F",2005
7014,NA,NA,"M",2004
5483,NA,NA,"M",2005
5482,NA,NA,"M",2005
6889,NA,NA,"M",2002
5608,NA,NA,"M",2006
4900,NA,NA,"F",2003
7420,NA,NA,"F",2006
7421,NA,NA,"M",2006
5172,NA,NA,"M",2004
6858,NA,NA,"M",2003
7040,NA,NA,"F",2004
7042,NA,NA,"F",2004
8234,NA,NA,"M",2009
5480,NA,NA,"M",2005
7256,NA,NA,"M",2005
7259,NA,NA,"F",2005
7422,NA,NA,"F",2006
7247,NA,NA,"F",2005
7248,NA,NA,"M",2005
7430,NA,NA,"F",2006
7252,NA,NA,"F",2005
7431,NA,NA,"M",2006
6868,NA,NA,"M",2002
4041,NA,NA,"F",2001
5508,NA,NA,"F",2005
