personID,momID,dadID,sex,famID,byear,dyear,lrs,ars_mean,ars_max,ars_med,ars_min,ars_sd,ars_n,year_first,year_last
1,NA,NA,F,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2,NA,NA,F,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
3,NA,NA,F,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
4,NA,NA,F,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
5,NA,NA,F,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
6,NA,NA,F,6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
7,NA,NA,F,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
8,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
9,NA,NA,F,9,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
10,NA,NA,F,10,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
11,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
12,NA,NA,F,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
13,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
50,NA,NA,F,12,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
51,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
52,NA,NA,F,13,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
53,NA,NA,F,14,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
54,NA,NA,F,15,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
55,NA,NA,F,16,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
56,NA,NA,F,17,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
57,NA,NA,F,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
58,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
59,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
60,NA,NA,F,19,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
61,NA,NA,F,20,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
62,NA,NA,F,21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
63,NA,NA,F,22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
64,NA,NA,F,23,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
65,NA,NA,F,24,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
66,NA,NA,F,25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
67,NA,NA,F,26,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
68,NA,NA,F,27,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
69,NA,NA,F,28,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
70,NA,NA,F,29,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
71,NA,NA,F,30,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
72,NA,NA,F,8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
73,NA,NA,F,31,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
74,NA,NA,F,32,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
75,NA,NA,F,33,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
76,NA,NA,M,34,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
77,NA,NA,F,35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
78,NA,NA,M,36,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
79,NA,NA,M,37,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
80,NA,NA,F,38,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
81,NA,NA,M,39,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
82,NA,NA,M,40,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
83,NA,NA,M,41,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
84,NA,NA,M,42,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
85,NA,NA,M,43,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
86,NA,NA,M,44,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
87,NA,NA,F,45,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
88,NA,NA,M,46,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
89,NA,NA,M,47,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
90,NA,NA,F,48,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
91,NA,NA,F,49,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
92,NA,NA,F,50,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
100,NA,NA,F,51,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
101,NA,NA,F,52,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
102,NA,NA,F,53,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
103,NA,NA,M,54,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
104,NA,NA,F,55,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
105,NA,NA,M,56,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
106,NA,NA,M,57,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
107,NA,NA,M,58,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
108,NA,NA,F,59,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
109,NA,NA,F,60,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
110,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
111,NA,NA,M,62,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
